MAKE_DESC,MODEL,GAR_SUB,COUNT,RPT_DATE
HOLDEN,COMMODORE,KAMBAH,591,24/05/2017
FORD,FALCON,KAMBAH,487,24/05/2017
TOYOTA,COROLLA,KAMBAH,428,24/05/2017
TOYOTA,HILUX,FYSHWICK,393,24/05/2017
HOLDEN,COMMODORE,NGUNNAWAL,374,24/05/2017
MAZDA,3,KAMBAH,370,24/05/2017
HOLDEN,COMMODORE,GORDON,319,24/05/2017
HOLDEN,COMMODORE,WANNIASSA,312,24/05/2017
HOLDEN,COMMODORE,KALEEN,308,24/05/2017
TOYOTA,CAMRY,KAMBAH,301,24/05/2017
TOYOTA,COROLLA,NGUNNAWAL,301,24/05/2017
HOLDEN,COMMODORE,DUNLOP,299,24/05/2017
TOYOTA,COROLLA,BRADDON,285,24/05/2017
HOLDEN,COMMODORE,CHISHOLM,273,24/05/2017
FORD,FALCON,WANNIASSA,272,24/05/2017
TOYOTA,COROLLA,KALEEN,263,24/05/2017
MAZDA,3,NGUNNAWAL,259,24/05/2017
FORD,FALCON,KALEEN,254,24/05/2017
FORD,FALCON,NGUNNAWAL,251,24/05/2017
HOLDEN,COMMODORE,MACGREGOR,251,24/05/2017
FORD,FALCON,GORDON,248,24/05/2017
TOYOTA,COROLLA,WANNIASSA,247,24/05/2017
FORD,FALCON,MACGREGOR,246,24/05/2017
HOLDEN,COMMODORE,MONASH,245,24/05/2017
TOYOTA,HILUX,KAMBAH,244,24/05/2017
HOLDEN,COMMODORE,EVATT,241,24/05/2017
HOLDEN,COMMODORE,CALWELL,238,24/05/2017
MAZDA,3,GORDON,238,24/05/2017
MAZDA,3,NICHOLLS,230,24/05/2017
HOLDEN,COMMODORE,CONDER,229,24/05/2017
TOYOTA,COROLLA,GORDON,224,24/05/2017
HOLDEN,COMMODORE,BANKS,222,24/05/2017
TOYOTA,CAMRY,NGUNNAWAL,220,24/05/2017
TOYOTA,CAMRY,BONNER,215,24/05/2017
SUBARU,FORESTER,KAMBAH,214,24/05/2017
HOLDEN,COMMODORE,NICHOLLS,212,24/05/2017
TOYOTA,CAMRY,HARRISON,210,24/05/2017
TOYOTA,COROLLA,PIALLIGO,206,24/05/2017
TOYOTA,HIACE,FYSHWICK,201,24/05/2017
FORD,FALCON,CHISHOLM,200,24/05/2017
TOYOTA,CAMRY,KALEEN,199,24/05/2017
VOLKSWAGEN,GOLF,KINGSTON,197,24/05/2017
FORD,FALCON,CALWELL,196,24/05/2017
MITSUBISHI,LANCER,KAMBAH,196,24/05/2017
HOLDEN,COMMODORE,LATHAM,195,24/05/2017
TOYOTA,HILUX,MITCHELL,194,24/05/2017
MAZDA,3,DUNLOP,193,24/05/2017
MAZDA,3,KALEEN,193,24/05/2017
TOYOTA,COROLLA,DUNLOP,193,24/05/2017
MAZDA,3,WANNIASSA,192,24/05/2017
FORD,FALCON,DUNLOP,191,24/05/2017
FORD,FALCON,CONDER,189,24/05/2017
TOYOTA,CAMRY,FRANKLIN,188,24/05/2017
TOYOTA,COROLLA,BRUCE,187,24/05/2017
