Fiscal Week,MyWay,MyWay %,Paper Ticket,Paper Ticket %,Total
25/09/2017,237707,0.87,37036,0.13,274743
16/04/2018,308000,0.89,39131,0.11,347131
18/12/2017,230881,0.86,37207,0.14,268088
15/01/2018,238969,0.87,36356,0.13,275325
11/09/2017,346857,0.90,40411,0.10,387268
18/09/2017,358856,0.89,44328,0.11,403184
11/12/2017,288650,0.87,42072,0.13,330722
02/10/2017,242736,0.87,35943,0.13,278679
18/06/2018,355559,0.90,38240,0.10,393799
31/07/2017,359150,0.90,38681,0.10,397831
21/05/2018,388064,0.91,40648,0.09,428712
01/01/2018,155383,0.84,29318,0.16,184701
27/11/2017,310120,0.85,54906,0.15,365026
04/09/2017,337346,0.90,37928,0.10,375274
04/12/2017,291505,0.85,53233,0.15,344738
14/08/2017,358590,0.90,40419,0.10,399009
19/02/2018,405443,0.90,46954,0.10,452397
23/10/2017,351723,0.87,53766,0.13,405489
08/01/2018,225925,0.86,35315,0.14,261240
20/11/2017,326473,0.85,58747,0.15,385220
09/10/2017,359030,0.87,53785,0.13,412815
22/01/2018,208453,0.87,32402,0.13,240855
14/05/2018,393679,0.91,41008,0.09,434687
02/04/2018,316806,0.89,38680,0.11,355486
28/05/2018,321085,0.90,34422,0.10,355507
05/03/2018,404627,0.90,43698,0.10,448325
12/02/2018,393397,0.89,50264,0.11,443661
25/12/2017,85724,0.80,21992,0.20,107716
29/01/2018,257140,0.87,37973,0.13,295113
04/06/2018,372705,0.90,39204,0.10,411909
06/11/2017,331830,0.86,54364,0.14,386194
30/10/2017,338958,0.87,52779,0.13,391737
26/02/2018,408014,0.90,43853,0.10,451867
26/03/2018,333564,0.90,37166,0.10,370730
17/07/2017,339642,0.89,40665,0.11,380307
11/06/2018,308222,0.90,34197,0.10,342419
28/08/2017,361337,0.90,38400,0.10,399737
07/08/2017,354993,0.90,40681,0.10,395674
19/03/2018,403825,0.90,44679,0.10,448504
23/04/2018,262661,0.88,35598,0.12,298259
13/11/2017,333350,0.86,56158,0.14,389508
07/05/2018,391612,0.90,41487,0.10,433099
25/06/2018,324047,0.90,36332,0.10,360379
03/07/2017,236722,0.87,35286,0.13,272008
24/07/2017,362138,0.90,40557,0.10,402695
16/10/2017,352453,0.87,53994,0.13,406447
21/08/2017,362293,0.90,39041,0.10,401334
10/07/2017,238591,0.86,38393,0.14,276984
12/03/2018,353248,0.90,40813,0.10,394061
09/04/2018,370317,0.90,41534,0.10,411851
30/04/2018,397874,0.90,44127,0.10,442001
05/02/2018,348082,0.89,44029,0.11,392111
