Date,Scheduled Trips,Service Failures,Services Delivered,Service Delivery %
01/07/2017,1167,3,1164,99.74%
02/07/2017,851,3,848,99.65%
03/07/2017,3201,7,3194,99.78%
04/07/2017,3201,7,3194,99.78%
05/07/2017,3201,5,3196,99.84%
06/07/2017,3201,15,3186,99.53%
07/07/2017,3201,21,3180,99.34%
08/07/2017,1167,1,1166,99.91%
09/07/2017,851,5,846,99.41%
10/07/2017,3201,16,3185,99.5%
11/07/2017,3201,5,3196,99.84%
12/07/2017,3201,13,3188,99.59%
13/07/2017,3201,7,3194,99.78%
14/07/2017,3201,7,3194,99.78%
15/07/2017,1167,4,1163,99.66%
16/07/2017,851,1,850,99.88%
17/07/2017,3515,16,3499,99.54%
18/07/2017,3515,4,3511,99.89%
19/07/2017,3515,7,3508,99.8%
20/07/2017,3515,8,3507,99.77%
21/07/2017,3515,13,3502,99.63%
22/07/2017,1167,3,1164,99.74%
23/07/2017,851,3,848,99.65%
24/07/2017,3515,22,3493,99.37%
25/07/2017,3515,8,3507,99.77%
26/07/2017,3515,5,3510,99.86%
27/07/2017,3515,8,3507,99.77%
28/07/2017,3515,16,3499,99.54%
29/07/2017,1167,2,1165,99.83%
30/07/2017,851,0,851,100%
31/07/2017,3515,21,3494,99.4%
01/08/2017,3515,6,3509,99.83%
02/08/2017,3515,22,3493,99.37%
03/08/2017,3515,15,3500,99.57%
04/08/2017,3515,12,3503,99.66%
05/08/2017,1167,1,1166,99.91%
06/08/2017,851,1,850,99.88%
07/08/2017,3515,7,3508,99.8%
08/08/2017,3515,13,3502,99.63%
09/08/2017,3515,12,3503,99.66%
10/08/2017,3515,11,3504,99.69%
11/08/2017,3515,9,3506,99.74%
12/08/2017,1167,1,1166,99.91%
13/08/2017,851,5,846,99.41%
14/08/2017,3515,10,3505,99.72%
15/08/2017,3515,14,3501,99.6%
16/08/2017,3515,6,3509,99.83%
17/08/2017,3515,18,3497,99.49%
18/08/2017,3515,11,3504,99.69%
19/08/2017,1167,1,1166,99.91%
20/08/2017,851,1,850,99.88%
21/08/2017,3515,6,3509,99.83%
22/08/2017,3515,19,3496,99.46%
23/08/2017,3515,10,3505,99.72%
24/08/2017,3515,16,3499,99.54%
25/08/2017,3515,20,3495,99.43%
26/08/2017,1167,11,1156,99.06%
27/08/2017,851,1,850,99.88%
28/08/2017,3515,16,3499,99.54%
29/08/2017,3515,4,3511,99.89%
30/08/2017,3515,15,3500,99.57%
