suburb,columnHeight,columnMaterial,outreach,lampType,latitude,longitude
BRADDON,10.5 metres,CONCRETE COLUMN,3.7,SODIUM VAPOUR HIGH PRESSURE TW,-35.260743682656106, 149.13352978241116
DOWNER,9.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.242747811157905, 149.13667327329782
ACTON,6 metres,STEEL ORDINARY,0.75,LIGHT EMITTING DIODE,-35.29090074099096, 149.1263481674193
REID,4.5 metres,STEEL ORDINARY (PAINTED),NONE,COMPACT FLUORESCENT,-35.279223642066725, 149.14096730668504
ACTON,,,,LIGHT EMITTING DIODE,-35.2910954994482, 149.12633070926123
REID,10.5 metres,STEEL ORDINARY,3.7,SODIUM VAPOUR HIGH PRESSURE,-35.278279865193895, 149.13896726965197
REID,9.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.279427831208054, 149.13954381884892
ACTON,,,,LIGHT EMITTING DIODE,-35.29062270174906, 149.12629283527465
LYNEHAM,6.5 metres,STEEL ORDINARY (LANEWAY),0.15,COMPACT FLUORESCENT,-35.25449673916733, 149.12792938681164
AINSLIE,6.5 metres,WOODEN POLE,0.6,COMPACT FLUORESCENT,-35.27182977102477, 149.14828054000714
BRADDON,10.5 metres,ALUMINIUM,3.0,LIGHT EMITTING DIODE,-35.27211790405743, 149.1328498532765
BRADDON,10.5 metres,ALUMINIUM,3.0,LIGHT EMITTING DIODE,-35.2718765520671, 149.13288822650816
BRADDON,10 metres,WOODEN POLE,3.0,SODIUM VAPOUR HIGH PRESSURE,-35.275099734738966, 149.14284081689837
CITY,,,NONE,,-35.2790555308382, 149.13296923462116
RUSSELL,12 metres,STEEL ORDINARY,4.5,MERCURY VAPOUR,-35.29944162731821, 149.15285429721177
CITY,4.5 metres,STEEL SPECIAL,NONE,METAL HALIDE,-35.282079753858156, 149.1366351032822
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.28179317311352, 149.13876438769185
REID,6.5 metres,WOODEN POLE,0.6,MERCURY VAPOUR,-35.285293737629566, 149.14356322902088
ACTON,,,,LIGHT EMITTING DIODE,-35.291100701974514, 149.12630696106393
REID,6.5 metres,WOODEN POLE,,COMPACT FLUORESCENT,-35.2806813744914, 149.14208190592433
TURNER,10.5 metres,STEEL ORDINARY,4.3,SODIUM VAPOUR HIGH PRESSURE,-35.266459865891704, 149.13088938869157
ACTON,,,,,-35.29051461502399, 149.12628766839967
