FID,CommonName,ScientificName,RecordDate,Easting_MGA,Northing_MGA,individualCount,coordinateUncertaintyInMeters,geodeticDatum,Data Resource Name,Location 1
45,Eastern Banjo Frog,Limnodynastes dumerilii,9/11/1993,149.102,-35.5666,1,200,GDA94,ACT Wildlife Atlas,"(-35.5666, 149.102)"
46,Eastern Banjo Frog,Limnodynastes dumerilii,16/12/1993,149.099,-35.5667,1,200,GDA94,ACT Wildlife Atlas,"(-35.5667, 149.099)"
47,Eastern Banjo Frog,Limnodynastes dumerilii,18/10/1993,149.077,-35.5265,1,,GDA94,ACT Wildlife Atlas,"(-35.5265, 149.077)"
48,Eastern Banjo Frog,Limnodynastes dumerilii,1/10/1993,148.982,-35.2991,1,200,GDA94,ACT Wildlife Atlas,"(-35.2991, 148.982)"
49,Eastern Banjo Frog,Limnodynastes dumerilii,5/12/1996,148.938,-35.2448,1,200,GDA94,ACT Wildlife Atlas,"(-35.2448, 148.938)"
50,Eastern Banjo Frog,Limnodynastes dumerilii,2/05/1988,149.115,-35.5835,1,200,GDA94,ACT Wildlife Atlas,"(-35.5835, 149.115)"
51,Eastern Banjo Frog,Limnodynastes dumerilii,22/10/1992,148.95,-35.2906,1,500,GDA94,ACT Wildlife Atlas,"(-35.2906, 148.95)"
52,Eastern Banjo Frog,Limnodynastes dumerilii,18/12/1996,148.949,-35.2906,1,200,GDA94,ACT Wildlife Atlas,"(-35.2906, 148.949)"
53,Eastern Banjo Frog,Limnodynastes dumerilii,23/10/1992,148.95,-35.2906,1,500,GDA94,ACT Wildlife Atlas,"(-35.2906, 148.95)"
54,Eastern Banjo Frog,Limnodynastes dumerilii,19/10/1995,148.952,-35.3194,1,200,GDA94,ACT Wildlife Atlas,"(-35.3194, 148.952)"
55,Eastern Banjo Frog,Limnodynastes dumerilii,19/01/1993,148.964,-35.3147,1,500,GDA94,ACT Wildlife Atlas,"(-35.3147, 148.964)"
1,Eastern Banjo Frog,Limnodynastes dumerilii,27/10/1994,148.828,-35.4458,1,200,GDA94,ACT Wildlife Atlas,"(-35.4458, 148.828)"
2,Eastern Banjo Frog,Limnodynastes dumerilii,3/02/1992,148.94,-35.3286,1,200,GDA94,ACT Wildlife Atlas,"(-35.3286, 148.94)"
3,Eastern Banjo Frog,Limnodynastes dumerilii,2/04/1996,148.915,-35.339,1,200,GDA94,ACT Wildlife Atlas,"(-35.339, 148.915)"
4,Eastern Banjo Frog,Limnodynastes dumerilii,22/10/1996,149.004,-35.2979,1,200,GDA94,ACT Wildlife Atlas,"(-35.2979, 149.004)"
