Fiscal Month,Service Type,Average Boardings per Trip
07/01/2017 12:00:00 AM,Rapid,40
07/01/2017 12:00:00 AM,Frequent Local,22
07/01/2017 12:00:00 AM,Peak Express,21
07/01/2017 12:00:00 AM,Coverage,11
08/01/2017 12:00:00 AM,Rapid,46
08/01/2017 12:00:00 AM,Frequent Local,25
08/01/2017 12:00:00 AM,Peak Express,23
08/01/2017 12:00:00 AM,Coverage,12
09/01/2017 12:00:00 AM,Rapid,44
09/01/2017 12:00:00 AM,Frequent Local,24
09/01/2017 12:00:00 AM,Peak Express,22
09/01/2017 12:00:00 AM,Coverage,12
10/01/2017 12:00:00 AM,Rapid,36
10/01/2017 12:00:00 AM,Frequent Local,27
10/01/2017 12:00:00 AM,Peak Express,21
10/01/2017 12:00:00 AM,Coverage,12
11/01/2017 12:00:00 AM,Rapid,32
11/01/2017 12:00:00 AM,Frequent Local,27
11/01/2017 12:00:00 AM,Peak Express,21
11/01/2017 12:00:00 AM,Coverage,12
12/01/2017 12:00:00 AM,Rapid,27
12/01/2017 12:00:00 AM,Frequent Local,22
12/01/2017 12:00:00 AM,Peak Express,15
12/01/2017 12:00:00 AM,Coverage,10
01/01/2018 12:00:00 AM,Rapid,26
01/01/2018 12:00:00 AM,Frequent Local,22
01/01/2018 12:00:00 AM,Peak Express,16
01/01/2018 12:00:00 AM,Coverage,9
02/01/2018 12:00:00 AM,Rapid,36
02/01/2018 12:00:00 AM,Frequent Local,29
02/01/2018 12:00:00 AM,Peak Express,22
02/01/2018 12:00:00 AM,Coverage,13
03/01/2018 12:00:00 AM,Rapid,40
03/01/2018 12:00:00 AM,Frequent Local,32
03/01/2018 12:00:00 AM,Peak Express,23
03/01/2018 12:00:00 AM,Coverage,14
04/01/2018 12:00:00 AM,Rapid,35
04/01/2018 12:00:00 AM,Frequent Local,28
04/01/2018 12:00:00 AM,Peak Express,21
04/01/2018 12:00:00 AM,Coverage,12
05/01/2018 12:00:00 AM,Rapid,38
05/01/2018 12:00:00 AM,Frequent Local,30
05/01/2018 12:00:00 AM,Peak Express,23
05/01/2018 12:00:00 AM,Coverage,13
06/01/2018 12:00:00 AM,Rapid,34
06/01/2018 12:00:00 AM,Frequent Local,28
06/01/2018 12:00:00 AM,Peak Express,21
06/01/2018 12:00:00 AM,Coverage,12
