Year,Region,Sex,Age
2005,ACT,Males,79.9
2006,ACT,Males,80
2007,ACT,Males,80.3
2008,ACT,Males,80.1
2009,ACT,Males,80.5
2010,ACT,Males,80.5
2011,ACT,Males,81
2012,ACT,Males,81.2
2013,ACT,Males,81.7
2014,ACT,Males,81.4
2005,ACT,Females,84
2006,ACT,Females,83.9
2007,ACT,Females,84
2008,ACT,Females,84
2009,ACT,Females,84.3
2010,ACT,Females,84.7
2011,ACT,Females,84.8
2012,ACT,Females,85.1
2013,ACT,Females,85
2014,ACT,Females,85.2
2005,Australia,Males,78.5
2006,Australia,Males,78.7
2007,Australia,Males,79
2008,Australia,Males,79.2
2009,Australia,Males,79.3
2010,Australia,Males,79.5
2011,Australia,Males,79.7
2012,Australia,Males,79.9
2013,Australia,Males,80.1
2014,Australia,Males,80.3
2005,Australia,Females,83.3
2006,Australia,Females,83.5
2007,Australia,Females,83.7
2008,Australia,Females,83.7
2009,Australia,Females,83.9
2010,Australia,Females,84
2011,Australia,Females,84.2
2012,Australia,Females,84.3
2013,Australia,Females,84.3
2014,Australia,Females,84.4
