years,estimates,errorbars
1950,-7.42,10.70
1951,-4.63,10.42
1952,-3.77,10.79
1953,-4.40,10.89
1954,-2.87,11.11
1955,-0.85,10.69
1956,0.48,10.01
1957,3.93,8.85
1958,3.27,8.13
1959,2.77,7.70
1960,-0.32,7.58
1961,1.30,7.05
1962,2.07,6.77
1963,2.28,6.20
1964,0.96,5.66
1965,1.35,5.57
1966,1.53,5.39
1967,0.21,5.27
1968,-2.10,4.71
1969,-3.58,4.51
1970,-2.37,4.32
1971,-1.34,4.43
1972,-0.56,4.44
1973,-0.66,4.75
1974,-1.30,5.04
1975,-2.37,5.12
1976,-1.80,4.95
1977,-1.82,4.84
1978,0.17,4.56
1979,1.43,4.51
1980,3.26,4.52
1981,4.33,4.80
1982,4.06,4.66
1983,3.15,4.45
1984,1.67,4.19
1985,1.71,4.12
1986,2.58,3.94
1987,4.43,3.77
1988,5.48,3.60
1989,6.56,3.20
1990,7.07,2.84
1991,6.27,2.36
1992,6.44,1.94
1993,6.87,1.65
1994,8.03,1.47
1995,9.31,1.51
1996,10.36,1.53
1997,10.03,1.58
1998,8.49,1.61
1999,7.39,1.84
2000,7.56,2.13
2001,8.97,2.34
2002,9.63,2.26
2003,10.58,2.03
2004,11.41,1.78
2005,12.64,1.52
2006,13.55,1.29
2007,14.11,1.12
2008,14.68,1.02
2009,15.18,0.95
2010,15.61,0.89
2011,16.23,0.82
2012,17.38,0.72
